"Urban Area Name","Country","Urban landa c 2000 (sq. km.)","Urban landa c 2010 (sq. km.)","Increase in urban land 2000 - 2010 (sq. km.)","Average annual rate of increase in urban land 2000 - 2010 (%)","Urban populationc c 2000 (persons)","Urban populationc c 2010 (persons)","Change in urban population 2000 - 2010 (persons)","Average annual rate of change of urban population (%)","Average urban population density c2000 (persons/ sq. km.)","Average urban population density c2010 (persons/ sq. km.)","Urban expansion per additional urban inhabitant (sq. m./ person)","Administrative boundary arrangementd","lon","lat"
"Medan urban area","Indonesia",437.5,455.625,18.125,0.406758997569593,2909037,3929132,1020095,3.05159959865635,6649.22742857143,8623.60932784636,17.767952984771,"Fragmented",98.6722227,3.5951956
"Harbin urban area","China",445.9375,532.5,86.5625,1.78987047440589,2842427,3809061,966634,2.97050929674973,6374.047932726,7153.1661971831,89.5504399803855,"Fragmented",126.534967,45.803775
"Zhengzhou urban area","China",243.6875,404.25,160.5625,5.19174936720052,1993042,3805762,1812720,6.6823361687803,8178.67966145165,9414.37724180581,88.5754556688292,"Fragmented",113.625328,34.746611
"Changsha urban area","China",249.375,444,194.625,5.93830151472978,2233013,3680654,1447641,5.12436227296477,8954.4380952381,8289.76126126126,134.442862560538,"Fragmented",112.938814,28.228209
"Hefei urban area","China",217.3125,405.5,188.1875,6.43650736279922,1677081,3623909,1946828,8.00959173221705,7717.37014667817,8936.89025893958,96.6636497934075,"Spillover",117.227219,31.820592
"Anshan urban area","China",718.0625,847.75,129.6875,1.67415112315994,3242167,3494160,251993,0.751319044404481,4515.15989207068,4121.68681804777,514.647232264388,"Fragmented",122.994329,41.108647
"Dalian urban area","China",493.25,550.3125,57.0625,1.10071531944963,2737479,3488541,751062,2.4540907706524,5549.88139888495,6339.2,75.9757516689701,"Fragmented",121.614682,38.914003
"Changchun urban area","China",613.5625,767,153.4375,2.25714321552872,2489821,3477619,987798,3.39782120928754,4057.97453397168,4534.05345501956,155.332871700489,"Spillover",125.323544,43.817072
"Yangon City urban area","Myanmar",370.75,389.5625,18.8125,0.496190302538174,2637028,3416962,779934,2.62485128538503,7112.68509777478,8771.28060324082,24.1206307200353,"Fragmented",96.195132,16.8660694
"Singapore urban area","Singapore",337.25,403.5,66.25,1.80970008207722,2539073,3412239,873166,2.99981045821432,7528.75611564122,8456.60223048327,75.8733161850095,"Contained",103.819836,1.352083
"Shijiazhuang urban area","China",446.625,495.875,49.25,1.05153580873314,2606693,3384804,778111,2.64655162631249,5836.42429331094,6825.92185530628,63.2943114799817,"Fragmented",114.51486,38.042307
"Fuzhou urban area","China",368.25,524.5,156.25,3.60012363756907,2421588,3380510,958922,3.39230010434708,6575.93482688391,6445.204957102,162.943388513351,"Fragmented",119.296494,26.074508
"Kunming urban area","China",307.375,445,137.625,3.76936207940572,2295856,3158163,862307,3.24023623511148,7469.23464823099,7096.99550561798,159.600930990935,"Spillover",102.832892,24.880095
"Busan urban area","South Korea",240.125,275.1875,35.0625,1.37226086374858,2832947,3132865,299918,1.01138435387147,11797.8011452369,11384.4742221213,116.906954567582,"Fragmented",129.0756416,35.1795543
"Jinan urban area","China",256.5625,304.5625,48,1.72983146246961,2255667,2952471,696804,2.72852807556377,8791.88112058465,9694.13831315412,68.8859421013657,"Fragmented",117.12,36.651216
"Wenzhou urban area","China",205.375,299,93.625,3.82749143272251,1693733,2920413,1226680,5.59903084037343,8247.02617163725,9767.26755852843,76.3238986532755,"Fragmented",120.699362,27.993828
"Semarang urban area","Indonesia",329.125,364.875,35.75,1.03650701478674,2025802,2857742,831940,3.50053679179465,6155.11431826814,7832.11236724906,42.9718489314133,"Fragmented",110.4381254,-7.0051453
"Wuxi urban area","China",227.875,489,261.125,7.93473205696858,1713658,2808589,1094931,5.06459815252889,7520.16675809106,5743.53578732106,238.485347478517,"Contained",120.31191,31.49117
"Ningbo urban area","China",309.875,629.8125,319.9375,7.35010501324491,1552379,2752235,1199856,5.893371393729,5009.69423154498,4369.9275578049,266.646580923044,"Fragmented",121.54399,29.868336
"Kaohsiung urban area","Taiwan",383.8125,400.0625,16.25,0.415527258529315,2623091,2719206,96115,0.360513618151486,6834.30320794659,6796.95297609748,169.068303594652,"Spillover",120.3014353,22.6272784
"Changzhou urban area","China",204.875,477.1875,272.3125,8.82282835279342,1578729,2698018,1119289,5.50516611502315,7705.81574130567,5653.99973804846,243.290606804856,"Spillover",119.974062,31.811226
"Nanchang urban area","China",231.5,337.3125,105.8125,3.83604644177961,1726117,2496129,770012,3.75754314283219,7456.22894168467,7400.04891606448,137.416689610032,"Spillover",115.858198,28.682892
"Urumqi urban area","China",325.875,466.0625,140.1875,3.64284159894184,1634389,2460166,825777,4.17437370113796,5015.3862677407,5278.61821107684,169.764355267827,"Spillover",87.616848,43.825592
"Zibo urban area","China",453.3125,507.9375,54.625,1.14426393737978,1985469,2320662,335193,1.57220441690847,4379.9123121467,4568.79438907346,162.965813725227,"Fragmented",118.054927,36.813487
"Taizhou urban area","China",174.875,369.875,195,7.77864642709507,1378319,2285429,907110,5.18693464547263,7881.7383845604,6178.92260898952,214.968416178854,"Fragmented",121.42076,28.65638
"Malang urban area","Indonesia",249.9375,265,15.0625,0.586904971752422,1635664,2242804,607140,3.20713508228345,6544.29207301825,8463.41132075472,24.808940277366,"Spillover",112.6326321,-7.9666204
"Lanzhou urban area","China",163.3125,193.5,30.1875,1.71058547252904,1618504,2179529,561025,3.0207927534176,9910.47225411405,11263.7157622739,53.8077625774253,"Fragmented",103.834304,36.061089
"Xinxiang urban area","China",334.6875,396.3125,61.625,1.70442008199957,1775110,2137221,362111,1.8737789175344,5303.78338001867,5392.76707143984,170.182623560179,"Fragmented",113.927016,35.303136
"Surakarta urban area","Indonesia",376.125,378.5,2.375,0.0629651940341262,1589226,2125451,536225,2.95004565871919,4225.26021934197,5615.45838837516,4.42911091426174,"Fragmented",110.8243272,-7.5754887
"Tegal urban area","Indonesia",215.8125,248.4375,32.625,1.41776965582983,1433025,2106735,673710,3.92872857949379,6640.13900955691,8479.93962264151,48.4258805717594,"Fragmented",109.1255917,-6.8797041
"Guiyang urban area","China",106.4375,150.375,43.9375,3.51614672840752,1482035,2104868,622833,3.57063538187499,13923.9929536113,13997.459684123,70.5445922101109,"Fragmented",106.630154,26.647661
"Tangshan urban area","China",421.375,525.3125,103.9375,2.22918463987444,1836665,2103384,266719,1.36519533020829,4358.74221299318,4004.06234384295,389.689148504606,"Fragmented",118.180194,39.630867
"Fukuoka urban area","Japan",343.1875,356.375,13.1875,0.377777810218028,1735889,1992756,256867,1.38955511554872,5058.13585867784,5591.73903893371,51.3397984170797,"Fragmented",130.4017155,33.5903547
"Xuzhou urban area","China",249.4375,325.375,75.9375,2.69333160816001,1483869,1910886,427017,2.56139555458193,5948.86093710849,5872.87283903189,177.832498471958,"Spillover",117.284124,34.205768
"Baotou urban area","China",272.9375,337.0625,64.125,2.13267876058902,1380563,1895406,514843,3.22017763451349,5058.16533089077,5623.30725013907,124.552533490792,"Spillover",109.840349,40.657378
"Taegu urban area","South Korea",226,255.375,29.375,1.22947722573767,1589839,1845485,255646,1.50226588485241,7034.68584070796,7226.56877141459,114.904985800677,"Fragmented",128.601445,35.8714354
"Luoyang urban area","China",144.0625,193,48.9375,2.96761090656398,1237071,1841029,603958,4.05587375944827,8587.04381778742,9539.0103626943,81.0279853897125,"Fragmented",112.45404,34.619683
"Baoding urban area","China",445.0625,494.375,49.3125,1.05633641930588,1537185,1835688,298503,1.7905059657191,3453.86322145766,3713.14892541087,165.199344730204,"Fragmented",115.46459,38.874434
"Huhehaote urban area","China",240.5625,290.6875,50.125,1.91071365231326,1249880,1825047,575167,3.85814787221066,5195.65601454923,6278.38142334982,87.1486020581848,"Fragmented",111.749181,40.842585
"Taichung urban area","Taiwan",199.4375,243.875,44.4375,2.03191693668004,1641289,1815569,174280,1.01427937879403,8229.590723911,7444.67042542286,254.977622217122,"Spillover",120.6736482,24.1477358
"Nanning urban area","China",176.4375,235.5,59.0625,2.92953282178131,1175617,1799783,624166,4.35071491023674,6663.07899397804,7642.3906581741,94.6262692937456,"Contained",108.366543,22.817002
"Yogyakarta urban area","Indonesia",233.1875,233.625,0.4375,0.0187459047687395,1352200,1799090,446890,2.89664054802928,5798.76708657196,7700.75976457999,0.978988117881358,"Fragmented",110.3694896,-7.7955798
"Cixi urban area","China",187.0625,436.8125,249.75,8.85060127571687,1014606,1747370,732764,5.58658529861849,5423.88773805546,4000.27471741308,340.832792003974,"Spillover",121.266579,30.169665
"Sapporo urban area","Japan",307.4375,314.9375,7.5,0.241314615002082,1464374,1705112,240738,1.53367136155796,4763.15999186827,5414.12820003969,31.1542008324402,"Spillover",141.3543763,43.0620958
"George Town urban area","Malaysia",325.875,395.625,69.75,1.95846026761987,1107706,1682629,574923,4.26928275966774,3399.17453011124,4253.0906793049,121.320594236098,"Fragmented",100.3091,5.4356367
"Datong urban area","China",324.625,350.8125,26.1875,0.778829447862899,1392065,1661874,269809,1.78736174222505,4288.2248748556,4737.21432389097,97.0594012801649,"Fragmented",113.300129,40.076763
"Cirebon urban area","Indonesia",148.8125,171.0625,22.25,1.40317195177076,1132600,1656403,523803,3.87449971086334,7610.91978160437,9683.02813299233,42.4778017689857,"Spillover",108.5523164,-6.7320229
"Linyi urban area","China",245.25,348.375,103.125,3.57234196405934,1198264,1655936,457672,3.28781817542737,4885.8878695209,4753.31467527808,225.325123669353,"Fragmented",118.356414,35.104674
"Palembang urban area","Indonesia",198.8125,205.25,6.4375,0.319174067415282,1192519,1602228,409709,2.99731442983981,5998.20936812323,7806.22655298417,15.7123714636486,"Spillover",104.7754307,-2.9760735
"Tasikmalaya urban area","Indonesia",78.4375,93.3125,14.875,1.75168461429121,1060054,1594737,534683,4.16842748294039,13514.6326693227,17090.2826523778,27.8202224495636,"Spillover",108.2171633,-7.3505808
"Makassar urban area","Indonesia",113.0625,138.875,25.8125,2.07762308209859,1094912,1591997,497085,3.81409036156626,9684.13045881703,11463.5247524752,51.9277387167185,"Spillover",119.4327314,-5.1476651
"Handan urban area","China",236.875,252.5625,15.6875,0.643322154678694,1379549,1590079,210530,1.43040442629527,5823.95356200528,6295.78421182876,74.5143209993825,"Fragmented",114.538962,36.625657
"Huaiyin urban area","China",307.875,326.875,19,0.600636413739325,1367428,1562746,195318,1.3440819209431,4441.50385708486,4780.8673040153,97.2772606723395,"Fragmented",119.015288,33.61036
"Weifang urban area","China",289.9375,318.75,28.8125,0.951919342771087,983235,1550370,567135,4.65929444618759,3391.19637852986,4863.90588235294,50.8036005536601,"Fragmented",119.161749,36.706962
"Kitakyushu urban area","Japan",352.5625,371.6875,19.125,0.529653088399742,1355953,1539317,183364,1.27642041610905,3845.99326360574,4141.42794686397,104.300735149757,"Fragmented",130.8752161,33.8834093
"Cebu urban area","Philippines",123.0625,161.4375,38.375,2.75142865188488,1017447,1527407,509960,4.14640856059657,8267.72574911122,9461.28997289973,75.2510000784375,"Fragmented",123.8857747,10.607936
"Changzhi urban area","China",262.4375,303.8125,41.375,1.47474640521038,1237616,1482858,245242,1.82428399774773,4715.85044058109,4880.83275046287,168.710905962274,"Fragmented",113.116404,36.195409
"Denpasar urban area","Indonesia",210.0625,227.0625,17,0.78123790701211,1070835,1473252,402417,3.24177156902415,5097.69711395418,6488.31048720066,42.2447361816225,"Fragmented",115.2126293,-8.6704582
