"Urban Area Name","Country","Urban landa c 2000 (sq. km.)","Urban landa c 2010 (sq. km.)","Increase in urban land 2000 - 2010 (sq. km.)","Average annual rate of increase in urban land 2000 - 2010 (%)","Urban populationc c 2000 (persons)","Urban populationc c 2010 (persons)","Change in urban population 2000 - 2010 (persons)","Average annual rate of change of urban population (%)","Average urban population density c2000 (persons/ sq. km.)","Average urban population density c2010 (persons/ sq. km.)","Urban expansion per additional urban inhabitant (sq. m./ person)","Administrative boundary arrangementd","lon","lat"
"Tai'an urban area","China",131.0625,147.5625,16.5,1.19283324479093,803343,978461,175118,1.99156377810388,6129.46494992847,6630.82422702245,94.2221816146827,"Spillover",117.087614,36.200252
"Hengyang urban area","China",86.0625,117.5625,31.5,3.16811261839326,675730,975756,300026,3.74252234253339,7851.61946259986,8299.89154704944,104.990900788598,"Spillover",112.572018,26.893369
"Purwokerto urban area","Indonesia",134.75,145.125,10.375,0.744500024685728,693106,973449,280343,3.45496890010309,5143.64378478664,6707.65891472868,37.0082363390561,"Spillover",NA,NA
"Nara urban area","Japan",203.25,230.9375,27.6875,1.28529342244021,817294,971420,154126,1.74260967693936,4021.12669126691,4206.41948579161,179.641981236131,"Fragmented",135.8050002,34.6850869
"Jining urban area","China",75.625,111.6875,36.0625,3.97619447332408,661202,948244,287042,3.67131194063057,8743.16694214876,8490.15332960269,125.634924505821,"Spillover",116.587282,35.414982
"Taejon urban area","South Korea",77.375,90.4375,13.0625,1.57218351280704,744641,943405,198764,2.39414474697136,9623.79321486268,10431.5687629578,65.7186412026323,"Fragmented",127.3845475,36.3504119
"Rui'an urban area","China",84.625,127,42.375,4.14310068718803,680105,939427,259322,3.28296739489505,8036.69128508124,7397.06299212598,163.406884105475,"Contained",120.655148,27.778657
"Zhuzhou urban area","China",82.375,104.9375,22.5625,2.45036938473677,736314,936971,200657,2.43923088648602,8938.56145675266,8928.84812388326,112.443124336554,"Fragmented",113.133853,27.827987
"Jiaonan urban area","China",180.4375,211.1875,30.75,1.58606565788328,596625,929658,333033,4.53510898351371,3306.54658815379,4402.05031074282,92.3331922061778,"Spillover",117.650841,32.155333
"Ulaanbaatar urban area","Mongolia",209.9375,271.125,61.1875,2.59069085022974,631407,926999,295592,3.91469980506871,3007.59511759452,3419.08344859382,206.999851146174,"Contained",106.9057439,47.8863988
"Huangshi urban area","China",90.75,115.3125,24.5625,2.42429313323726,763297,920313,157016,1.88827278655226,8410.98622589532,7981.03414634146,156.433102358995,"Fragmented",115.038835,30.200031
"Xiangfan urban area","China",184.5,220.5,36,1.79846334240214,781445,919560,138115,1.64082125681373,4235.47425474255,4170.34013605442,260.652354921623,"Contained",112.122415,32.008986
"Tengzhou urban area","China",218.4375,245.75,27.3125,1.18511576829197,821156,915301,94145,1.09131051465621,3759.22632331903,3724.52085452696,290.110998990918,"Contained",117.164388,35.084021
"Yueqing urban area","China",88.875,128.0625,39.1875,3.72041271361573,633291,912721,279430,3.72261864093216,7125.63713080169,7127.15275744265,140.24084743943,"Contained",120.983906,28.113725
"Yining urban area","China",271.0625,332.8125,61.75,2.07350292385898,679323,898094,218771,2.83111564313186,2506.14895088771,2698.49840375587,282.258617458438,"Fragmented",81.527454,43.977138
"Otsu urban area","Japan",138.125,146.5,8.375,0.590399590580791,770753,896976,126223,1.52817038015746,5580.11221719457,6122.70307167235,66.3508235424606,"Fragmented",135.8546074,35.0178929
"Zhangjiagang urban area","China",69.5,197.0625,127.5625,10.9843948469014,469905,887045,417140,6.55983972510075,6761.22302158273,4501.33840786552,305.802608237043,"Contained",120.556005,31.875572
"Da Nang urban area","Vietnam",62.6875,88.0625,25.375,3.45726805128759,562091,869178,307087,4.45523473476045,8966.55633100698,9870.01277501774,82.6313064375893,"Fragmented",108.2021667,16.0544068
"Qiqiha'er urban area","China",120.75,127.4375,6.6875,0.540492979378848,792670,864329,71659,0.869220870876775,6564.55486542443,6782.37567435017,93.3239369793048,"Fragmented",123.918186,47.354348
"Mudanjiang urban area","China",224.125,233.6875,9.5625,0.418682243454089,746196,857631,111435,1.40158778516118,3329.37423312883,3669.99090665953,85.812356979405,"Fragmented",129.633169,44.551653
"Guilin urban area","China",84.5,111.125,26.625,2.77689818459753,635003,854828,219825,3.01733155204935,7514.82840236686,7692.49043869516,121.119071989082,"Fragmented",110.179954,25.234479
"Yiwu urban area","China",106.25,164.875,58.625,4.49189058240182,534537,851974,317437,4.77190897416027,5030.93647058824,5167.39347990902,184.682314916031,"Contained",120.07514,29.306757
"Fuqing urban area","China",243.5625,306.9375,63.375,2.33965600336398,735597,847205,111608,1.42262719597966,3020.15704387991,2760.18733455508,567.835639022292,"Contained",119.384334,25.721143
"Naha urban area","Japan",157.0625,163.3125,6.25,0.39097961866754,731696,846516,114820,1.46831513072017,4658.6295264624,5183.41216991963,54.4330256052952,"Fragmented",127.6791568,26.2123124
"Baoji urban area","China",69.375,121.4375,52.0625,5.75842687313888,531108,844665,313557,4.74906752502394,7655.61081081081,6955.55326814205,166.038391743766,"Spillover",107.237743,34.363184
"Gaizhou urban area","China",154.375,221.9375,67.5625,3.69680412773559,595708,844254,248546,3.54853751702967,3858.83724696356,3804.01689664883,271.830968915211,"Spillover",122.348936,40.400611
"Benxi urban area","China",109.25,135.5,26.25,2.17667948209438,715831,837997,122166,1.58818382870679,6552.22883295195,6184.47970479705,214.871568194097,"Fragmented",123.685143,41.486981
"Ulsan urban area","South Korea",89,99.75,10.75,1.14683314201273,745368,837089,91721,1.1672836070451,8374.92134831461,8391.86967418546,117.203257705433,"Fragmented",129.3113596,35.5383773
"Yueyang urban area","China",72.6875,113.375,40.6875,4.54559936660316,515533,831491,315958,4.89628517592185,7092.45743766122,7333.98897464168,128.775027060559,"Spillover",113.12873,29.356804
"Batam urban area","Indonesia",76.5625,155.875,79.3125,7.36828991747926,518573,829182,310609,4.80548123746842,6773.19836734694,5319.53167602245,255.345144538632,"Contained",104.0304535,1.0456264
"Davao urban area","Philippines",65.125,76.25,11.125,1.58959084047034,609127,826172,217045,3.09468171732534,9353.19769673704,10835.0426229508,51.2566518463913,"Contained",125.455341,7.190708
"Hiroshima urban area","Japan",155.875,158.9375,3.0625,0.194755795043957,740061,822189,82128,1.05793376498055,4747.78508420209,5173.03342508848,37.2893532047536,"Spillover",132.4552927,34.3852029
"Keshi urban area","China",54.3125,124,69.6875,8.60559247342747,454516,821663,367147,6.09977318483335,8368.53394706559,6626.31451612903,189.8081694798,"Fragmented",75.99379,39.467686
"Banyuwangi urban area","Indonesia",68.4375,71,2.5625,0.3682660093518,599201,819574,220373,3.181435178699,8755.44840182648,11543.2957746479,11.6280125060693,"Contained",114.3691416,-8.2190944
"Suqian urban area","China",56.1875,79.625,23.4375,3.54782322714973,389091,819101,430010,7.72800743110375,6924.86763070078,10286.9827315542,54.5045464058975,"Spillover",118.275198,33.963232
"Pingxiang urban area","China",56.9375,89.25,32.3125,4.59742257491582,568907,799482,230575,3.4610165610364,9991.78046103183,8957.78151260504,140.138783476092,"Spillover",113.854556,27.622768
"Dongying urban area","China",371.375,410,38.625,0.994359483085394,612193,796045,183852,2.66086658951774,1648.44968024234,1941.57317073171,210.087461653939,"Spillover",118.674767,37.434751
"Yangquan urban area","China",97.5,151.4375,53.9375,4.50158597096943,662606,794900,132294,1.8370272615505,6795.95897435897,5249.03012794057,407.709344339123,"Spillover",113.580519,37.856972
"Ma'anshan urban area","China",62.375,126.625,64.25,7.33735518455804,455287,790210,334923,5.66854492294218,7299.19038076152,6240.55281342547,191.835138225801,"Fragmented",118.50676,31.670452
"Banjarmasin urban area","Indonesia",86.625,103.5,16.875,1.79576494307534,545564,787625,242061,3.74027114520814,6297.99711399711,7609.90338164251,69.7138324637178,"Fragmented",114.5943784,-3.3186067
"Pekan Baru urban area","Indonesia",140.5,143.8125,3.3125,0.233300513326592,590951,787093,196142,2.90760191061562,4206.05693950178,5473.04997827032,16.8882748213029,"Contained",101.4477793,0.5070677
"Yichang urban area","China",72.8125,87.9375,15.125,1.90531064415348,655989,786909,130920,1.83634308942886,9009.29098712446,8948.50319829424,115.528567063856,"Fragmented",111.286471,30.691967
"Blitar urban area","Indonesia",120.0625,126.1875,6.125,0.498804463471654,578102,785872,207770,3.11806011629966,4815.00884955752,6227.81178801387,29.4797131443423,"Spillover",112.1609056,-8.0954627
"Fuxin urban area","China",220.375,256.625,36.25,1.53450682858101,748333,785000,36667,0.479502468388434,3395.72546795235,3058.93813930833,988.627376114763,"Fragmented",121.670324,42.021619
"Dingzhou urban area","China",227.625,238.5,10.875,0.46778845277246,725623,775914,50291,0.672361197875967,3187.80010982976,3253.30817610063,216.241474617725,"Contained",114.990392,38.516461
"Pingdingshan urban area","China",84,100.25,16.25,1.78423327775799,642630,775628,132998,1.8988419177803,7650.35714285714,7736.93765586035,122.182288455465,"Spillover",113.192661,33.76617
"Zhenjiang urban area","China",64.1875,152.8125,88.625,9.06134315740564,482589,774978,292389,4.85066651813038,7518.4264849075,5071.43067484663,303.106478013879,"Contained",119.425836,32.187849
"Rizhao urban area","China",149.375,203.75,54.375,3.15302537347405,539538,773990,234452,3.67435238949853,3611.96987447699,3798.72392638037,231.923805299166,"Contained",119.526925,35.416734
"Pekalongan urban area","Indonesia",48.875,55.0625,6.1875,1.19916183206088,529210,772419,243209,3.85382358910709,10827.8260869565,14028.0408626561,25.4410815389233,"Fragmented",109.6745916,-6.8898362
"Shouguang urban area","China",321.375,369.5,48.125,1.4052021877996,688317,771558,83241,1.14816498685768,2141.78763127188,2088.11366711773,578.140579762377,"Contained",118.79074,36.85576
"Liaocheng urban area","China",159.9375,168.375,8.4375,0.515428996513046,583027,771418,188391,2.83953637926853,3645.34271199687,4581.54714179658,44.7871713616893,"Contained",115.98546,36.45703
"Klaten urban area","Indonesia",111.1875,111.5,0.3125,0.0280701936830107,578473,768554,190081,2.88193631380705,5202.68015739179,6892.86098654709,1.64403596361551,"Contained",110.6645683,-7.657893
"Ipoh urban area","Malaysia",324.875,360.5,35.625,1.04594681571034,522104,767926,245822,3.9336633524267,1607.09195844556,2130.16920943135,144.92193538414,"Spillover",101.090106,4.597479
"Changde urban area","China",53.4375,104.0625,50.625,6.8919038401397,486643,767877,281234,4.66660027490429,9106.76959064327,7378.9981981982,180.010240582575,"Spillover",111.698497,29.031673
"Panjin urban area","China",206.9375,245.6875,38.75,1.73125128427639,667329,767846,100517,1.41294922994354,3224.78526125038,3125.29534469601,385.506929176159,"Spillover",122.070714,41.119997
"Kanazawa urban area","Japan",200.6875,211.5,10.8125,0.526139544631156,663843,766266,102423,1.44518011718933,3307.84428526939,3623.00709219858,105.567108950138,"Fragmented",136.6562051,36.5613254
"Melaka urban area","Malaysia",235.125,256.75,21.625,0.883737718655254,528406,762225,233819,3.73171182382,2247.34077618288,2968.74391431353,92.4860682835869,"Spillover",102.249063,2.194418
"Heze urban area","China",212.5,226.0625,13.5625,0.620613085535151,692658,760494,67836,0.93869689319576,3259.56705882353,3364.0873652198,199.930715254437,"Contained",115.480656,35.23375
"Zunhua urban area","China",151.8125,323,171.1875,7.84238873315405,496995,760424,263429,4.34469635211949,3273.74228077398,2354.25386996904,649.843031708734,"Spillover",117.965892,40.189202
"Jombang urban area","Indonesia",153.9375,160.6875,6.75,0.430070250546346,549299,748155,198856,3.13789833313146,3568.32480714576,4655.96266044341,33.9441605986241,"Contained",112.28609,-7.5740867
"Linfen urban area","China",139.3125,146.8125,7.5,0.525743720081273,568847,748120,179273,2.77738872207371,4083.244504262,5095.75138356748,41.8356361526833,"Contained",111.518976,36.088005
"Fuji urban area","Japan",156.1875,163,6.8125,0.427842566229302,658864,746877,88013,1.26172718115501,4218.41696678671,4582.06748466258,77.4033381432288,"Fragmented",138.6762728,35.1613985
"Bangbu urban area","China",67.5,85.625,18.125,2.40700882909409,517550,746620,229070,3.73247275394222,7667.40740740741,8719.6496350365,79.12428515301,"Fragmented",117.389719,32.916287
"Mianyang urban area","China",60.0625,120.8125,60.75,7.23852863914238,434987,746217,311230,5.54529694430326,7242.23933402706,6176.65390584584,195.19326543071,"Spillover",104.678946,31.467495
"Nanyang urban area","China",128.75,141.3125,12.5625,0.935359503770423,588785,736666,147881,2.26602812531109,4573.08737864078,5213.02786377709,84.950061197855,"Spillover",112.528308,32.990664
"Cangzhou urban area","China",154.75,169.75,15,0.929451368693433,615587,732705,117118,1.75692430008952,3977.9450726979,4316.37702503682,128.075957581243,"Spillover",116.838835,38.304477
"Gaobeidian urban area","China",218.8125,245.6875,26.875,1.1651880865124,655031,732542,77511,1.12465840504144,2993.57212225079,2981.60061053167,346.724980970443,"Spillover",115.873758,39.32652
"Ganzhou urban area","China",97.4375,163.0625,65.625,5.28410179070058,483313,730870,247557,4.22242307575322,4960.2360487492,4482.14641625144,265.090464014348,"Spillover",114.93503,25.831829
"Kumamoto urban area","Japan",172.9375,183.0625,10.125,0.570595399875176,635842,729407,93565,1.38228411604054,3676.71557643657,3984.46978490953,108.21354138834,"Spillover",130.7078911,32.8031004
"Pemalang urban area","Indonesia",61.5625,68.8125,7.25,1.11954548124377,513675,728516,214841,3.55595222552638,8343.95939086294,10586.9718437784,33.7458864928017,"Contained",109.4259114,-7.0599422
"Jinhua urban area","China",107.25,170.3125,63.0625,4.73333244725005,427695,721042,293347,5.36166837636494,3987.83216783217,4233.64110091743,214.975779537544,"Spillover",119.647421,29.079175
"Shangqiu urban area","China",157.25,171.8125,14.5625,0.889602353169167,609493,712897,103404,1.57943818359122,3875.94912559618,4149.273190251,140.831109048006,"Spillover",115.656339,34.414961
"Yancheng urban area","China",31.875,73.5625,41.6875,8.7228000434865,355094,709995,354901,7.17443325624112,11140.2039215686,9651.58878504673,117.462334566541,"Spillover",120.16366,33.347316
"Zhuji urban area","China",123.9375,195.625,71.6875,4.66998509737331,519486,705961,186475,3.11472459369314,4191.51588502269,3608.74632587859,384.434910845958,"Contained",120.246863,29.708692
"Kebumen urban area","Indonesia",102.875,103.125,0.25,0.0242748024296129,528169,700532,172363,2.86449708146962,5134.08505467801,6793.03757575758,1.45042729588137,"Contained",109.6524575,-7.6680559
"Wafangdian urban area","China",198.0625,237.875,39.8125,1.84850405210128,643989,699578,55589,0.831393548044626,3251.44335752603,2940.94797687861,716.193851301516,"Spillover",121.979603,39.627114
"Kota Kinabalu urban area","Malaysia",171.875,185.5,13.625,0.765791434725442,474805,686283,211478,3.75255388377073,2762.50181818182,3699.63881401617,64.427505461561,"Spillover",116.0734568,5.980408
"Yixing urban area","China",62.3125,166.5,104.1875,10.3275327603538,391524,685518,293994,5.76112147945007,6283.23370110331,4117.22522522523,354.386484077906,"Contained",119.823308,31.340637
"Jiaxing urban area","China",42.4375,118.5625,76.125,10.820410786918,288370,684648,396278,9.03143465302914,6795.16936671576,5774.5745914602,192.099990410772,"Spillover",120.758543,30.753924
"Angeles City urban area","Philippines",135.75,185.75,50,3.18555357049275,425633,683176,257543,4.84548448913053,3135.41804788214,3677.93270524899,194.142337396085,"Fragmented",120.5887029,15.1449853
"Xuchang urban area","China",110.1875,119.5,9.3125,0.814629305882341,545096,680479,135383,2.24313870986605,4946.98581962564,5694.38493723849,68.7863321096445,"Spillover",113.852454,34.035771
"Hamamatsu urban area","Japan",271.8125,291.75,19.9375,0.710358972261996,595201,674588,79387,1.25990041072371,2189.74844791906,2312.21251071123,251.143134266316,"Spillover",137.7261258,34.7108344
"Shaoyang urban area","China",48.9375,82.8125,33.875,5.4011651110862,424401,673554,249153,4.72722647041513,8672.30651340996,8133.48226415094,135.960634630127,"Fragmented",111.467791,27.238893
"Hsinchu urban area","Taiwan",81.5625,118.125,36.5625,3.77318093138109,563946,671268,107322,1.75736264735027,6914.28045977012,5682.69206349206,340.680382400626,"Contained",120.9674798,24.8138287
"Probolinggo urban area","Indonesia",79.875,86.75,6.875,0.829093158810009,487699,668426,180727,3.20248314530992,6105.77777777778,7705.19884726225,38.0408018724374,"Spillover",113.2037131,-7.7764226
"Mataram urban area","Indonesia",54.5,57.875,3.375,0.602656820337307,485721,667904,182183,3.2363678435326,8912.3119266055,11540.4578833693,18.525328927507,"Spillover",116.1004894,-8.5769951
"Luohe urban area","China",131.3125,138.75,7.4375,0.552458193148455,558349,666726,108377,1.78977745934412,4252.06282722513,4805.23243243243,68.6261845225463,"Contained",114.016536,33.580873
"Huzhou urban area","China",58.1875,135.4375,77.25,8.81554036110485,357371,663470,306099,6.3825015217501,6141.71428571429,4898.71712044301,252.369331490792,"Contained",120.086823,30.894348
"Bojonegoro urban area","Indonesia",159.625,164.1875,4.5625,0.282215009834979,488469,660006,171537,3.05547933998572,3060.10336726703,4019.83098591549,26.5977602499752,"Contained",111.7614661,-7.3174629
"Subang urban area","Indonesia",86.8125,90,3.1875,0.361241407831513,482961,658050,175089,3.14179449568613,5563.2656587473,7311.66666666667,18.205027157617,"Contained",107.7607951,-6.5622888
"Weihai urban area","China",92.875,108.875,16,1.60215841999744,446449,652726,206277,3.87138101065448,4806.98788694482,5995.18714121699,77.5656035331132,"Contained",122.12042,37.513068
"Padang urban area","Indonesia",48.9375,59.1875,10.25,1.91986076594529,413468,651847,238379,4.65750492417974,8448.89910600255,11013.2544878564,42.9987540848816,"Spillover",100.417181,-0.9470832
"Samarinda urban area","Indonesia",58.3125,58.4375,0.125,0.0214155772208938,492048,651438,159390,2.84580023906154,8438.12218649518,11147.6021390374,0.784239914674697,"Spillover",117.1436154,-0.4948232
"Guigang urban area","China",93.8125,146.4375,52.625,4.55364057811599,467409,644620,177211,3.26678836911497,4982.3744170553,4402.01451131029,296.962378181941,"Contained",109.598927,23.111531
"Siping urban area","China",147.3125,167,19.6875,1.26227661552807,540907,642660,101753,1.73862569266199,3671.83368689011,3848.26347305389,193.483238823425,"Spillover",124.350398,43.16642
"Anqing urban area","China",33.25,63.875,30.625,6.74656932601506,339235,638129,298894,6.52236077704843,10202.5563909774,9990.27788649706,102.46107315637,"Fragmented",117.115101,30.53192
"Mojokerto urban area","Indonesia",39.5625,45.9375,6.375,1.50521674925546,442119,635802,193683,3.69988411562904,11175.2037914692,13840.587755102,32.9146078902124,"Spillover",112.4401329,-7.4704747
"Tulungagung urban area","Indonesia",84.3125,92.8125,8.5,0.965139671060182,457056,634928,177872,3.34167738971574,5420.97553743514,6840.97508417508,47.7871727984168,"Contained",111.9641728,-8.091221
"Xintai urban area","China",118.125,124.8125,6.6875,0.552211350648691,620911,632581,11670,0.186378681668959,5256.38941798942,5068.25037556335,573.050556983719,"Contained",117.767953,35.909032
"Leshan urban area","China",106.875,147.3125,40.4375,3.2610049188866,488282,631904,143622,2.61197318065323,4568.72046783626,4289.54773016546,281.555054239601,"Spillover",103.765568,29.552106
"Zhujiang urban area","China",58.3125,112.125,53.8125,6.75643914681036,346865,630432,283567,6.15678980264151,5948.38156484459,5622.58193979933,189.769966180832,"Spillover",113.6216667,22.7694444
"Buon Ma Thu urban area","Vietnam",101,104.1875,3.1875,0.311199660573451,445429,629858,184429,3.52528055315012,4410.18811881188,6045.42771445711,17.2830737031595,"Spillover",108.0382475,12.6661944
"Jincheng urban area","China",107,111.3125,4.3125,0.395908922835147,497757,628869,131112,2.36565768315759,4651.93457943925,5649.58113419427,32.8917261577888,"Spillover",112.851831,35.490702
"Jiamusi urban area","China",135,138.625,3.625,0.265328045789437,634466,624897,-9569,-0.151853226761984,4699.74814814815,4507.82326420198,-378.827463684816,"Spillover",130.318879,46.799778
"Mito urban area","Japan",227,231.75,4.75,0.207306452960649,553591,624427,70836,1.21136108270127,2438.7268722467,2694.39913700108,67.0562990569767,"Fragmented",140.4709965,36.3665027
"Yangjiang urban area","China",73.3125,101.3125,28,3.28767468710763,459785,622483,162698,3.07593184099773,6271.57715260017,6144.18753855645,172.097997516872,"Spillover",111.982232,21.857958
"Jingzhou urban area","China",88.6875,96.25,7.5625,0.821657409570018,596963,618009,21046,0.347079787178376,6731.08386187456,6420.87272727273,359.331939560962,"Spillover",112.239741,30.335165
"Fuyang urban area","China",52.9375,66.875,13.9375,2.36465727900513,508038,616993,108955,1.96201368393659,9596.93978748524,9226.06355140187,127.919783396815,"Contained",115.814205,32.890124
"Yiyang urban area","China",42.9375,85.75,42.8125,7.16173524716149,357388,613929,256541,5.55962002136776,8323.44687045124,7159.52186588921,166.883656023793,"Spillover",112.35518,28.55386
"Suzhou urban area","China",186.5625,193.875,7.3125,0.385213225347567,573473,612831,39358,0.665991410056369,3073.89212730318,3160.95938104449,185.794501753138,"Contained",120.58529,31.298979
"Zigong urban area","China",37.6875,51.875,14.1875,3.24667587365254,413510,608639,195129,3.94111614508389,10972.0729684909,11732.8,72.7083109122683,"Contained",104.778442,29.33903
"Hai Du'o'ng urban area","Vietnam",129.625,152.5,22.875,1.63846733053704,396779,607919,211140,4.35895072787636,3060.97589199614,3986.35409836066,108.340437624325,"Fragmented",106.3206861,20.9385958
"Linqing urban area","China",137.1875,139.25,2.0625,0.149334147933456,569018,605440,36422,0.622362661812454,4147.73940774487,4347.86355475763,56.6278622810389,"Spillover",115.704881,36.838277
"Toyama urban area","Japan",228.1875,247.6875,19.5,0.823373341101191,522349,605029,82680,1.48025325867464,2289.12188441523,2442.71107746657,235.849056603774,"Fragmented",137.2136768,36.6959518
"Lufeng urban area","China",85.375,95.625,10.25,1.14026172657001,473773,604998,131225,2.47510292785089,5549.317715959,6326.77647058824,78.1101162126119,"Contained",115.65226,22.917576
"Changwon urban area","South Korea",64.6875,69.5,4.8125,0.720168521128981,552104,603503,51399,0.894119350937598,8534.94106280193,8683.4964028777,93.6302262689936,"Spillover",128.655142,35.239455
"Zunyi urban area","China",40.375,60.625,20.25,4.14871636463879,521195,600097,78902,1.4196532767489,12908.8544891641,9898.50721649485,256.647486755722,"Spillover",106.927389,27.725654
"Jixi urban area","China",125,135.8125,10.8125,0.833066050408823,600426,598560,-1866,-0.0311214831168919,4803.408,4407.25264611137,-5794.48017148982,"Fragmented",130.969333,45.295075
"Kuching urban area","Malaysia",192.875,243.6875,50.8125,2.36599952651666,388354,595475,207121,4.36709013344613,2013.50097213221,2443.60092331367,245.327610430618,"Spillover",110.3785438,1.6076812
"Magelang urban area","Indonesia",26.5,26.5,0,4.79707749611854e-14,448740,592931,144191,2.82552541660816,16933.5849056604,22374.7547169811,0,"Spillover",110.2176941,-7.4797342
"Yulin urban area","China",61.375,74.25,12.875,1.92260035126727,472276,588669,116393,2.22745029280249,7694.92464358452,7928.20202020202,110.616617837842,"Contained",110.164756,22.636379
"Tokushima urban area","Japan",133.5,150.8125,17.3125,1.22682314186888,499584,587043,87459,1.62630589026316,3742.20224719101,3892.53543307087,197.949896522942,"Fragmented",134.5548438,34.0702703
"Niigata urban area","Japan",191.1875,198.8125,7.625,0.391841173948931,503097,574967,71870,1.34425143188155,2631.43249427918,2892.00628733103,106.094336997356,"Spillover",139.0364126,37.9161924
"Jambi urban area","Indonesia",62.9375,62.9375,0,5.683724784394e-14,431346,573476,142130,2.88900023435379,6853.56107249255,9111.83316782522,0,"Spillover",102.4380581,-1.4851831
"Shaoguan urban area","China",109,147.375,38.375,3.06227669795268,461333,573407,112074,2.19857655274326,4232.4128440367,3890.80237489398,342.407694915859,"Contained",113.597547,24.810329
"Langfang urban area","China",126,144.3125,18.3125,1.36624072373405,437952,568551,130599,2.6441709679577,3475.80952380952,3939.72109138155,140.219297238111,"Spillover",116.683752,39.538047
"Toyohashi urban area","Japan",224.6875,235.5625,10.875,0.473776017390781,508605,558657,50052,0.943059093953458,2263.61057023644,2371.58715839745,217.274035003596,"Fragmented",137.3914662,34.7691995
"Zoucheng urban area","China",104.625,117.625,13,1.17807598284275,506430,558469,52039,0.982929330323959,4840.43010752688,4747.87672688629,249.81264051961,"Contained",117.003743,35.405185
"Wu'an urban area","China",145.3125,171.3125,26,1.65964945709166,454228,558172,103944,2.08205742174467,3125.87010752688,3258.20941262313,250.134687908874,"Contained",114.203697,36.696506
"Pingdu urban area","China",172.625,182.5,9.875,0.557835754418382,519413,556773,37360,0.697000708318362,3008.9094858798,3050.81095890411,264.320128479657,"Contained",119.98842,36.776358
"Renqiu urban area","China",104.3125,105.4375,1.125,0.107329145389006,519950,556074,36124,0.673948136172556,4984.54164170162,5273.96799051571,31.1427305946185,"Contained",116.082918,38.683592
"Dengzhou urban area","China",197.75,199.875,2.125,0.106942788126618,483015,555884,72869,1.41503750421284,2442.55372945638,2781.15822388993,29.1619207070222,"Contained",112.087455,32.687734
"Heyuan urban area","China",91.125,143.5,52.375,4.64571169654322,251874,551008,299134,8.14276177921428,2764.04938271605,3839.77700348432,175.088756209592,"Spillover",114.700961,23.743686
"Linhai urban area","China",54.125,115.0625,60.9375,7.8334722208491,319452,543022,223570,5.44868818496361,5902.11547344111,4719.36556219446,272.565639397057,"Contained",121.145046,28.858457
"Ponorogo urban area","Indonesia",31.25,54.9375,23.6875,5.80395133244593,327844,541877,214033,5.15340682391954,10491.008,9863.51763367463,110.672186064766,"Contained",111.4696322,-7.8650759
"Jiujiang urban area","China",55,75.625,20.625,3.23578626792967,383667,541149,157482,3.49902090277161,6975.76363636364,7155.68925619835,130.967348649369,"Spillover",116.00193,29.705077
"Bacolod urban area","Philippines",47.5625,78.625,31.0625,5.15492027070165,338784,538628,199844,4.74579648104517,7122.92247043364,6850.5945945946,155.433738315886,"Spillover",122.9689565,10.6407389
"Changhua urban area","Taiwan",102.1875,118.8125,16.625,1.51879075252107,494207,537015,42808,0.834175710341814,4836.27645259939,4519.85270910047,388.361988413381,"Contained",120.5624474,24.0716583
"Bozhou urban area","China",218.5,221.3125,2.8125,0.127978976653511,504236,533051,28815,0.5572739459491,2307.71624713959,2408.58966393674,97.6054138469547,"Contained",115.778676,33.844582
"Nha Trang urban area","Vietnam",61.625,63.875,2.25,0.359247915613317,381913,531538,149625,3.36106788542064,6197.37119675456,8321.53424657534,15.0375939849624,"Spillover",109.1967488,12.2387911
"Purwakarta urban area","Indonesia",40,43,3,0.725828070542875,378305,529361,151056,3.4167739709797,9457.625,12310.7209302326,19.8601843025103,"Contained",107.4462717,-6.5406665
"Nam Ha urban area","Vietnam",64.375,77.9375,13.5625,1.93021091962469,349694,526333,176639,4.17349668967853,5432.13980582524,6753.27024859663,76.7808921019707,"Fragmented",105.92299,20.5835196
"Gaocheng urban area","China",107.5625,113.3125,5.75,0.522132531002473,507709,525873,18164,0.352131430297233,4720.13015688553,4640.90899062328,316.560229024444,"Contained",114.847075,38.021567
"Fengrun urban area","China",127.4375,150.8125,23.375,1.69837407869981,466616,522186,55570,1.13152583447411,3661.52820009809,3462.48487360133,420.640633435307,"Contained",118.162216,39.832582
"Wuchuan urban area","China",58.625,70.25,11.625,1.82545216545032,422843,520278,97435,2.09527227218523,7212.67377398721,7406.09252669039,119.310309437061,"Contained",110.778411,21.441808
"Shangrao urban area","China",52.875,73.6875,20.8125,3.3747195168636,358369,518442,160073,3.76167509679992,6777.66430260047,7035.6844783715,130.018803920711,"Contained",117.943433,28.454863
"Vinh urban area","Vietnam",79.4375,84.5625,5.125,0.627162046693649,361060,516865,155805,3.65249841082839,4545.20849724626,6112.22468588322,32.8936812040692,"Fragmented",105.6813333,18.6795848
"Kuningan urban area","Indonesia",43.8125,50,6.1875,1.32980266925833,351896,516544,164648,3.91286024046409,8031.86305278174,10330.88,37.5801710315339,"Contained",108.4928912,-6.9810103
"Jepara urban area","Indonesia",34.25,47.8125,13.5625,3.39227409606472,300849,515577,214728,5.53450957425834,8783.91240875912,10783.3098039216,63.1613017398756,"Contained",110.6786933,-6.582711
"Nanchong urban area","China",35.4375,56.0625,20.625,4.69379398094667,335005,515455,180450,4.40323283850186,9453.40388007055,9194.29208472687,114.297589359933,"Fragmented",106.110698,30.837793
